learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.48226190476190467,0.0,?,0.0,0.2,10.0,-1.0
20.0,0.0,0.0,20.0,0.0,0.0,0.4606916915643695,0.0,?,0.0,0.2,20.0,-1.0
30.0,0.0,0.0,30.0,0.0,0.0,0.41473950651144675,0.0,?,0.0,0.2,30.0,-1.0
40.0,0.0,0.0,40.0,0.0,0.0,0.3965112917860082,0.0,?,0.0,0.2,40.0,-1.0
50.0,0.0,0.0,50.0,0.0,0.0,0.3715133917751174,0.0,?,0.0,0.2,50.0,-1.0
60.0,0.0,0.0,60.0,0.0,0.0,0.3750967998723422,0.0,?,0.0,0.2,60.0,-1.0
70.0,0.0,0.0,70.0,0.0,0.0,0.3772354215709798,0.0,?,0.0,0.2,70.0,-1.0
80.0,0.0,0.0,80.0,0.0,0.0,0.3726428534528339,0.0,?,0.0,0.2,80.0,-1.0
90.0,0.0,0.0,90.0,0.0,0.0,0.3872076920754109,0.0,?,0.0,0.2,90.0,-1.0
100.0,0.0,0.0,100.0,0.0,0.0,0.3841971189436786,0.0,?,0.0,0.2,100.0,-1.0
110.0,0.0,0.0,110.0,0.0,0.0,0.3812440516505459,0.0,?,0.0,0.2,110.0,-1.0
120.0,0.0,0.0,120.0,0.0,0.0,0.3785525317277353,0.0,?,0.0,0.2,120.0,-1.0
130.0,0.0,0.0,130.0,0.0,0.0,0.3716921770830608,0.0,?,0.0,0.2,130.0,-1.0
140.0,0.0,0.0,140.0,0.0,0.0,0.36944638905288685,0.0,?,0.0,0.2,140.0,-1.0
150.0,0.0,0.0,150.0,0.0,0.0,0.37108104213697907,0.0,?,0.0,0.2,150.0,-1.0
160.0,0.0,0.0,160.0,0.0,0.0,0.3655503771994273,0.0,?,0.0,0.2,160.0,-1.0
170.0,0.0,0.0,170.0,0.0,0.0,0.3637868317811518,0.0,?,0.0,0.2,170.0,-1.0
180.0,0.0,0.0,180.0,0.0,0.0,0.36859712299289155,0.0,?,0.0,0.2,180.0,-1.0
190.0,0.0,0.0,190.0,0.0,0.0,0.3727252443027142,0.0,?,0.0,0.2,190.0,-1.0
200.0,0.0,0.0,200.0,0.0,0.0,0.3714304595780146,0.0,?,0.0,0.2,200.0,-1.0
210.0,0.0,0.0,210.0,0.0,0.0,0.3752607113539157,0.0,?,0.0,0.2,210.0,-1.0
220.0,0.0,0.0,220.0,0.0,0.0,0.3716658535350997,0.0,?,0.0,0.2,220.0,-1.0
230.0,0.0,0.0,230.0,0.0,0.0,0.3657725048290255,0.0,?,0.0,0.2,230.0,-1.0
240.0,0.0,0.0,240.0,0.0,0.0,0.36471673820079925,0.0,?,0.0,0.2,240.0,-1.0
250.0,0.0,0.0,250.0,0.0,0.0,0.36357888573809616,1.0,0.0,0.0,0.8,250.0,-1.0
260.0,0.0,0.0,260.0,0.0,0.0,0.3689162166377927,1.0,0.0,0.0,0.8,260.0,-1.0
270.0,0.0,0.0,270.0,0.0,1.0,0.37754825298221206,1.0,0.0,0.0,0.8,270.0,-1.0
280.0,0.0,0.0,280.0,0.0,1.0,0.38698475523927495,1.0,0.0,0.0,0.8,280.0,-1.0
290.0,0.0,0.0,290.0,1.0,1.0,0.385589684616137,1.0,32.0,1.0,0.8,290.0,-1.0
300.0,0.0,0.0,300.0,1.0,1.0,0.3830218538699736,1.0,32.0,1.0,0.8,300.0,-1.0
310.0,0.0,0.0,310.0,1.0,1.0,0.37624131614216877,1.0,32.0,1.0,0.8,310.0,-1.0
320.0,0.0,0.0,320.0,1.0,1.0,0.3730771049372153,1.0,32.0,1.0,0.8,320.0,-1.0
330.0,0.0,0.0,330.0,1.0,1.0,0.3769028129122807,1.0,32.0,1.0,0.8,330.0,-1.0
340.0,0.0,0.0,340.0,1.0,1.0,0.3775164306965978,1.0,32.0,1.0,0.8,340.0,-1.0
350.0,0.0,0.0,350.0,1.0,1.0,0.37809543430686365,1.0,32.0,1.0,0.8,350.0,-1.0
360.0,0.0,0.0,360.0,1.0,1.0,0.37565416954964853,1.0,32.0,1.0,0.8,360.0,-1.0
370.0,0.0,0.0,370.0,1.0,1.0,0.37450319144496835,1.0,32.0,1.0,0.8,370.0,-1.0
380.0,0.0,0.0,380.0,1.0,1.0,0.37028221118891064,1.0,32.0,1.0,0.8,380.0,-1.0
390.0,0.0,0.0,390.0,1.0,1.0,0.36901779190212375,1.0,32.0,1.0,0.8,390.0,-1.0
400.0,0.0,0.0,400.0,1.0,1.0,0.36795885234177284,1.0,32.0,1.0,0.8,400.0,-1.0
410.0,0.0,0.0,410.0,1.0,1.0,0.3668916120631731,1.0,32.0,1.0,0.8,410.0,-1.0
420.0,0.0,0.0,420.0,1.0,1.0,0.3658455488027894,1.0,32.0,1.0,0.8,420.0,-1.0
430.0,0.0,0.0,430.0,1.0,1.0,0.3618770518490124,1.0,32.0,1.0,0.8,430.0,-1.0
440.0,0.0,0.0,440.0,1.0,1.0,0.359341667288566,1.0,32.0,1.0,0.8,440.0,-1.0
450.0,0.0,0.0,450.0,1.0,1.0,0.3568062545589801,1.0,32.0,1.0,0.8,450.0,-1.0
460.0,0.015625,-4.042198674546348E-15,460.0,1.0,1.0,0.35709985233920444,1.0,32.0,1.0,0.8,460.0,-1.0
470.0,0.015625,-4.042198674546348E-15,470.0,1.0,1.0,0.3588401260491797,1.0,32.0,1.0,0.8,470.0,-1.0
480.0,0.015625,-4.042198674546348E-15,480.0,1.0,1.0,0.3593301051467211,1.0,32.0,1.0,0.8,480.0,-1.0
490.0,0.015625,-4.042198674546348E-15,490.0,1.0,1.0,0.3585554370497913,1.0,32.0,1.0,0.8,490.0,-1.0
500.0,0.015625,-4.042198674546348E-15,500.0,1.0,1.0,0.35782728162148325,1.0,32.0,1.0,0.2,500.0,-1.0
510.0,0.015625,-4.042198674546348E-15,510.0,1.0,1.0,0.36403669181452436,1.0,32.0,1.0,0.2,510.0,-1.0
520.0,0.015625,-4.042198674546348E-15,520.0,1.0,1.0,0.3687138362008563,1.0,32.0,1.0,0.2,520.0,-1.0
530.0,0.015625,-4.042198674546348E-15,530.0,1.0,1.0,0.3739727566465699,1.0,32.0,1.0,0.2,530.0,-1.0
540.0,0.015625,-4.042198674546348E-15,540.0,1.0,1.0,0.37798124253920845,1.0,32.0,1.0,0.2,540.0,-1.0
550.0,0.015625,-4.042198674546348E-15,550.0,1.0,1.0,0.38317005755647027,1.0,32.0,1.0,0.2,550.0,-1.0
560.0,0.015625,-4.042198674546348E-15,560.0,1.0,1.0,0.3872314989031936,1.0,32.0,1.0,0.2,560.0,-1.0
570.0,0.015625,-4.042198674546348E-15,570.0,1.0,1.0,0.3898279606420377,1.0,32.0,1.0,0.2,570.0,-1.0
580.0,0.015625,-4.042198674546348E-15,580.0,1.0,1.0,0.3928285595221082,1.0,32.0,1.0,0.2,580.0,-1.0
590.0,0.015625,-4.042198674546348E-15,590.0,1.0,1.0,0.3956572215219872,1.0,32.0,1.0,0.2,590.0,-1.0
600.0,0.015625,-4.042198674546348E-15,600.0,1.0,1.0,0.39917454632170807,1.0,32.0,1.0,0.2,600.0,-1.0
610.0,0.015625,-4.042198674546348E-15,610.0,1.0,1.0,0.4027158706753058,1.0,32.0,1.0,0.2,610.0,-1.0
620.0,0.015625,-4.042198674546348E-15,620.0,1.0,1.0,0.40525684559395136,1.0,32.0,1.0,0.2,620.0,-1.0
630.0,0.015625,-4.042198674546348E-15,630.0,1.0,1.0,0.4067726368447062,1.0,32.0,1.0,0.2,630.0,-1.0
640.0,0.015625,-4.042198674546348E-15,640.0,1.0,1.0,0.40851521655426415,1.0,32.0,1.0,0.2,640.0,-1.0
650.0,0.015625,-4.042198674546348E-15,650.0,1.0,1.0,0.41111887043638373,1.0,32.0,1.0,0.2,650.0,-1.0
660.0,0.015625,-4.042198674546348E-15,660.0,1.0,1.0,0.4134092246755998,1.0,32.0,1.0,0.2,660.0,-1.0
670.0,0.015625,-4.042198674546348E-15,670.0,1.0,1.0,0.4151581383182885,1.0,32.0,1.0,0.2,670.0,-1.0
680.0,0.015625,-4.042198674546348E-15,680.0,1.0,1.0,0.41677342735994816,1.0,32.0,1.0,0.2,680.0,-1.0
690.0,0.015625,-4.042198674546348E-15,690.0,1.0,1.0,0.4182697855660552,1.0,32.0,1.0,0.2,690.0,-1.0
700.0,0.015625,-4.042198674546348E-15,700.0,1.0,1.0,0.41975729175696797,1.0,32.0,1.0,0.2,700.0,-1.0
710.0,0.015625,-4.042198674546348E-15,710.0,1.0,1.0,0.4210159820512952,1.0,32.0,1.0,0.2,710.0,-1.0
720.0,0.015625,-4.042198674546348E-15,720.0,1.0,1.0,0.42213401748171386,1.0,32.0,1.0,0.2,720.0,-1.0
730.0,0.015625,-4.042198674546348E-15,730.0,1.0,1.0,0.4231775041690451,1.0,32.0,1.0,0.2,730.0,-1.0
740.0,0.015625,-4.042198674546348E-15,740.0,1.0,1.0,0.42413379711912635,1.0,32.0,1.0,0.2,740.0,-1.0
750.0,0.015625,-4.042198674546348E-15,750.0,1.0,1.0,0.4250655299982423,2.0,16.0,1.0,0.8,750.0,-1.0
760.0,0.015625,-4.042198674546348E-15,760.0,1.0,1.0,0.42622543701301074,2.0,16.0,1.0,0.8,760.0,-1.0
770.0,0.015625,-4.042198674546348E-15,770.0,1.0,1.0,0.42722255933857917,2.0,16.0,1.0,0.8,770.0,-1.0
780.0,0.015625,-4.042198674546348E-15,780.0,1.0,1.0,0.4281620518658973,2.0,16.0,1.0,0.8,780.0,-1.0
790.0,0.015625,-4.042198674546348E-15,790.0,1.0,3.0,0.4290476246959725,2.0,16.0,1.0,0.8,790.0,-1.0
800.0,0.015625,-4.042198674546348E-15,800.0,1.0,3.0,0.42992098463742745,2.0,16.0,1.0,0.8,800.0,-1.0
810.0,0.015625,-4.042198674546348E-15,810.0,1.0,3.0,0.4307071373321474,2.0,16.0,1.0,0.8,810.0,-1.0
820.0,0.015625,-4.042198674546348E-15,820.0,1.0,3.0,0.4314802297005865,2.0,16.0,1.0,0.8,820.0,-1.0
830.0,0.015625,-4.042198674546348E-15,830.0,1.0,3.0,0.4320454585729988,2.0,16.0,1.0,0.8,830.0,-1.0
840.0,0.015625,-4.042198674546348E-15,840.0,1.0,3.0,0.43272690377787587,2.0,16.0,1.0,0.8,840.0,-1.0
850.0,0.015625,-4.042198674546348E-15,850.0,2.0,3.0,0.43392982854504364,2.0,61.5,2.0,0.8,850.0,-1.0
860.0,0.015625,-4.042198674546348E-15,860.0,2.0,3.0,0.4336824116408943,2.0,61.5,2.0,0.8,860.0,-1.0
870.0,0.015625,-4.042198674546348E-15,870.0,2.0,3.0,0.431552136613597,2.0,61.5,2.0,0.8,870.0,-1.0
880.0,0.015625,-4.042198674546348E-15,880.0,2.0,3.0,0.42863828897946055,2.0,61.5,2.0,0.8,880.0,-1.0
890.0,0.015625,-4.042198674546348E-15,890.0,2.0,3.0,0.4302605049827766,2.0,61.5,2.0,0.8,890.0,-1.0
900.0,0.015625,-4.042198674546348E-15,900.0,2.0,3.0,0.428670501849098,2.0,61.5,2.0,0.8,900.0,-1.0
910.0,0.015625,-4.042198674546348E-15,910.0,2.0,3.0,0.42617908409457456,2.0,61.5,2.0,0.8,910.0,-1.0
920.0,0.015625,-4.042198674546348E-15,920.0,2.0,3.0,0.4249776285910859,2.0,61.5,2.0,0.8,920.0,-1.0
930.0,0.015625,-4.042198674546348E-15,930.0,2.0,3.0,0.4250964821158472,2.0,61.5,2.0,0.8,930.0,-1.0
940.0,0.015625,-4.042198674546348E-15,940.0,2.0,3.0,0.42337714549780864,2.0,61.5,2.0,0.8,940.0,-1.0
950.0,0.015625,-4.042198674546348E-15,950.0,2.0,3.0,0.42296869921869684,2.0,61.5,2.0,0.8,950.0,-1.0
960.0,0.015625,-4.042198674546348E-15,960.0,2.0,3.0,0.4219917401496979,2.0,61.5,2.0,0.8,960.0,-1.0
970.0,0.015625,-4.042198674546348E-15,970.0,2.0,3.0,0.42100277997364605,2.0,61.5,2.0,0.8,970.0,-1.0
980.0,0.015625,-4.042198674546348E-15,980.0,2.0,3.0,0.4200117731844891,2.0,61.5,2.0,0.8,980.0,-1.0
990.0,0.015625,-4.042198674546348E-15,990.0,2.0,3.0,0.4202487162745945,2.0,61.5,2.0,0.8,990.0,-1.0
1000.0,0.015625,-4.042198674546348E-15,1000.0,2.0,3.0,0.4199545213156279,2.0,61.5,2.0,0.2,1000.0,-1.0
