learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.28289682539682537,0.0,?,0.0,0.2,10.0,-1.0
20.0,0.0,0.0,20.0,0.0,0.0,0.1773869828571841,0.0,?,0.0,0.2,20.0,-1.0
30.0,0.0,0.0,30.0,0.0,0.0,0.23732359942792147,0.0,?,0.0,0.2,30.0,-1.0
40.0,0.0,0.0,40.0,0.0,0.0,0.27301094977814877,0.0,?,0.0,0.2,40.0,-1.0
50.0,0.0,0.0,50.0,0.0,0.0,0.27923682202901806,0.0,?,0.0,0.2,50.0,-1.0
60.0,0.0,0.0,60.0,0.0,0.0,0.3176182111320192,0.0,?,0.0,0.2,60.0,-1.0
70.0,0.0,0.0,70.0,0.0,0.0,0.3203668358808608,0.0,?,0.0,0.2,70.0,-1.0
80.0,0.0,0.0,80.0,0.0,0.0,0.3491183690149709,0.0,?,0.0,0.2,80.0,-1.0
90.0,0.0,0.0,90.0,0.0,0.0,0.3507657917702811,0.0,?,0.0,0.2,90.0,-1.0
100.0,0.0,0.0,100.0,0.0,0.0,0.3411095388097848,0.0,?,0.0,0.2,100.0,-1.0
110.0,0.0,0.0,110.0,0.0,0.0,0.3362673860727357,0.0,?,0.0,0.2,110.0,-1.0
120.0,0.0,0.0,120.0,0.0,0.0,0.33144547597331664,0.0,?,0.0,0.2,120.0,-1.0
130.0,0.0,0.0,130.0,0.0,0.0,0.3315100944858113,0.0,?,0.0,0.2,130.0,-1.0
140.0,0.0,0.0,140.0,0.0,0.0,0.33137885773305603,0.0,?,0.0,0.2,140.0,-1.0
150.0,0.0,0.0,150.0,0.0,0.0,0.33888848602723615,0.0,?,0.0,0.2,150.0,-1.0
160.0,0.0,0.0,160.0,0.0,0.0,0.3352464281735873,0.0,?,0.0,0.2,160.0,-1.0
170.0,0.0,0.0,170.0,0.0,0.0,0.3382945923969657,0.0,?,0.0,0.2,170.0,-1.0
180.0,0.0,0.0,180.0,0.0,0.0,0.3381281146623,0.0,?,0.0,0.2,180.0,-1.0
190.0,0.015625,-4.042198674546348E-15,190.0,0.0,0.0,0.3349253772181457,0.0,?,0.0,0.2,190.0,-1.0
