learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.48226190476190467,0.0,?,0.0,0.2,10.0,-1.0
20.0,0.0,0.0,20.0,0.0,0.0,0.4606916915643695,0.0,?,0.0,0.2,20.0,-1.0
30.0,0.0,0.0,30.0,0.0,0.0,0.41473950651144675,0.0,?,0.0,0.2,30.0,-1.0
40.0,0.0,0.0,40.0,0.0,0.0,0.396511291786008,0.0,?,0.0,0.2,40.0,-1.0
50.0,0.0,0.0,50.0,0.0,0.0,0.3715133917751172,0.0,?,0.0,0.2,50.0,-1.0
60.0,0.0,0.0,60.0,0.0,0.0,0.37509679987234207,0.0,?,0.0,0.2,60.0,-1.0
70.0,0.0,0.0,70.0,0.0,0.0,0.37723542157097967,0.0,?,0.0,0.2,70.0,-1.0
80.0,0.0,0.0,80.0,0.0,0.0,0.37264285345283377,0.0,?,0.0,0.2,80.0,-1.0
90.0,0.0,0.0,90.0,0.0,0.0,0.3872076920754108,0.0,?,0.0,0.2,90.0,-1.0
100.0,0.0,0.0,100.0,0.0,0.0,0.38419711894367853,0.0,?,0.0,0.2,100.0,-1.0
110.0,0.0,0.0,110.0,0.0,0.0,0.38124405165054587,0.0,?,0.0,0.2,110.0,-1.0
120.0,0.0,0.0,120.0,0.0,0.0,0.37855253172773523,0.0,?,0.0,0.2,120.0,-1.0
130.0,0.0,0.0,130.0,0.0,0.0,0.37169217708306074,0.0,?,0.0,0.2,130.0,-1.0
140.0,0.0,0.0,140.0,0.0,0.0,0.3694463890528868,0.0,?,0.0,0.2,140.0,-1.0
150.0,0.0,0.0,150.0,0.0,0.0,0.37108104213697907,0.0,?,0.0,0.2,150.0,-1.0
160.0,0.0,0.0,160.0,0.0,0.0,0.36555037719942723,0.0,?,0.0,0.2,160.0,-1.0
170.0,0.0,0.0,170.0,0.0,0.0,0.3637868317811518,0.0,?,0.0,0.2,170.0,-1.0
180.0,0.0,0.0,180.0,0.0,0.0,0.36859712299289155,0.0,?,0.0,0.2,180.0,-1.0
190.0,0.0,0.0,190.0,0.0,0.0,0.3727252443027142,0.0,?,0.0,0.2,190.0,-1.0
200.0,0.0,0.0,200.0,0.0,0.0,0.3714304595780146,0.0,?,0.0,0.2,200.0,-1.0
210.0,0.0,0.0,210.0,0.0,0.0,0.3752607113539157,0.0,?,0.0,0.2,210.0,-1.0
220.0,0.0,0.0,220.0,0.0,0.0,0.3716658535350997,0.0,?,0.0,0.2,220.0,-1.0
230.0,0.0,0.0,230.0,0.0,0.0,0.3657725048290255,0.0,?,0.0,0.2,230.0,-1.0
240.0,0.0,0.0,240.0,0.0,0.0,0.36471673820079925,0.0,?,0.0,0.2,240.0,-1.0
250.0,0.0,0.0,250.0,0.0,0.0,0.36357888573809616,1.0,0.0,0.0,0.8,250.0,-1.0
260.0,0.0,0.0,260.0,0.0,0.0,0.3689162166377927,1.0,0.0,0.0,0.8,260.0,-1.0
270.0,0.0,0.0,270.0,0.0,0.0,0.37754825298221206,1.0,0.0,0.0,0.8,270.0,-1.0
280.0,0.0,0.0,280.0,0.0,0.0,0.38698475523927495,1.0,0.0,0.0,0.8,280.0,-1.0
290.0,0.0,0.0,290.0,0.0,0.0,0.39542178479532364,1.0,0.0,0.0,0.8,290.0,-1.0
300.0,0.0,0.0,300.0,0.0,0.0,0.40294077664709593,1.0,0.0,0.0,0.8,300.0,-1.0
310.0,0.0,0.0,310.0,0.0,0.0,0.4118737661834391,1.0,0.0,0.0,0.8,310.0,-1.0
320.0,0.0,0.0,320.0,0.0,0.0,0.4176889542120895,1.0,0.0,0.0,0.8,320.0,-1.0
330.0,0.0,0.0,330.0,1.0,0.0,0.4202305602200931,1.0,71.0,1.0,0.8,330.0,-1.0
340.0,0.0,0.0,340.0,1.0,0.0,0.4214801686234039,1.0,71.0,1.0,0.8,340.0,-1.0
350.0,0.0,0.0,350.0,1.0,0.0,0.42253735429051525,1.0,71.0,1.0,0.8,350.0,-1.0
360.0,0.0,0.0,360.0,1.0,0.0,0.42201291230292604,1.0,71.0,1.0,0.8,360.0,-1.0
370.0,0.0,0.0,370.0,1.0,0.0,0.4218809397396881,1.0,71.0,1.0,0.8,370.0,-1.0
380.0,0.0,0.0,380.0,1.0,0.0,0.41987462237951156,1.0,71.0,1.0,0.8,380.0,-1.0
390.0,0.0,0.0,390.0,1.0,0.0,0.41931714090426486,1.0,71.0,1.0,0.8,390.0,-1.0
400.0,0.0,0.0,400.0,1.0,0.0,0.41872938438288615,1.0,71.0,1.0,0.8,400.0,-1.0
410.0,0.0,0.0,410.0,1.0,0.0,0.4180496779521298,1.0,71.0,1.0,0.8,410.0,-1.0
420.0,0.0,0.0,420.0,1.0,0.0,0.41730464279447094,1.0,71.0,1.0,0.8,420.0,-1.0
430.0,0.0,0.0,430.0,1.0,0.0,0.41456065821698346,1.0,71.0,1.0,0.8,430.0,-1.0
440.0,0.0,0.0,440.0,1.0,0.0,0.4126592944490189,1.0,71.0,1.0,0.8,440.0,-1.0
450.0,0.0,0.0,450.0,1.0,0.0,0.41068197617761965,1.0,71.0,1.0,0.8,450.0,-1.0
460.0,0.0,0.0,460.0,1.0,0.0,0.41064896779873,1.0,71.0,1.0,0.8,460.0,-1.0
470.0,0.0,0.0,470.0,1.0,0.0,0.411621565510627,1.0,71.0,1.0,0.8,470.0,-1.0
480.0,0.0,0.0,480.0,1.0,0.0,0.41167734006163215,1.0,71.0,1.0,0.8,480.0,-1.0
490.0,0.0,0.0,490.0,1.0,0.0,0.4107966996550488,1.0,71.0,1.0,0.8,490.0,-1.0
500.0,0.0,0.0,500.0,1.0,0.0,0.40992529373863096,1.0,71.0,1.0,0.2,500.0,-1.0
510.0,0.0,0.0,510.0,1.0,0.0,0.4142649349977767,1.0,71.0,1.0,0.2,510.0,-1.0
520.0,0.0,0.0,520.0,1.0,0.0,0.41747565907349443,1.0,71.0,1.0,0.2,520.0,-1.0
530.0,0.0,0.0,530.0,1.0,0.0,0.42115125153508093,1.0,71.0,1.0,0.2,530.0,-1.0
540.0,0.0,0.0,540.0,1.0,0.0,0.4238940722022022,1.0,71.0,1.0,0.2,540.0,-1.0
550.0,0.0,0.0,550.0,1.0,0.0,0.42756103195284606,1.0,71.0,1.0,0.2,550.0,-1.0
560.0,0.0,0.0,560.0,1.0,0.0,0.4303756391318332,1.0,71.0,1.0,0.2,560.0,-1.0
570.0,0.0,0.0,570.0,1.0,0.0,0.43207401930976946,1.0,71.0,1.0,0.2,570.0,-1.0
580.0,0.0,0.0,580.0,2.0,0.0,0.43349765707651844,1.0,71.0,1.0,0.2,580.0,-1.0
590.0,0.0,0.0,590.0,2.0,0.0,0.4342049470923416,1.0,71.0,1.0,0.2,590.0,-1.0
600.0,0.0,0.0,600.0,2.0,0.0,0.4342404776528746,1.0,71.0,1.0,0.2,600.0,-1.0
610.0,0.0,0.0,610.0,2.0,0.0,0.4336184970217706,1.0,71.0,1.0,0.2,610.0,-1.0
620.0,0.0,0.0,620.0,2.0,0.0,0.4335175547620424,1.0,71.0,1.0,0.2,620.0,-1.0
630.0,0.0,0.0,630.0,2.0,0.0,0.4345941650257956,1.0,71.0,1.0,0.2,630.0,-1.0
640.0,0.0,0.0,640.0,2.0,0.0,0.4352579250859945,1.0,71.0,1.0,0.2,640.0,-1.0
650.0,0.0,0.0,650.0,2.0,0.0,0.4342782751367092,1.0,71.0,1.0,0.2,650.0,-1.0
660.0,0.0,0.0,660.0,2.0,0.0,0.4330555635918447,1.0,71.0,1.0,0.2,660.0,-1.0
670.0,0.0,0.0,670.0,2.0,0.0,0.4326273065340236,1.0,71.0,1.0,0.2,670.0,-1.0
680.0,0.0,0.0,680.0,2.0,0.0,0.432177918677896,1.0,71.0,1.0,0.2,680.0,-1.0
690.0,0.0,0.0,690.0,2.0,0.0,0.4316787753182992,1.0,71.0,1.0,0.2,690.0,-1.0
700.0,0.0,0.0,700.0,2.0,0.0,0.4300909405285607,1.0,71.0,1.0,0.2,700.0,-1.0
710.0,0.0,0.0,710.0,3.0,0.0,0.4286231464430959,1.0,71.0,1.0,0.2,710.0,-1.0
720.0,0.0,0.0,720.0,3.0,0.0,0.426835449987922,1.0,71.0,1.0,0.2,720.0,-1.0
730.0,0.0,0.0,730.0,3.0,0.0,0.42646085386707094,1.0,71.0,1.0,0.2,730.0,-1.0
740.0,0.0,0.0,740.0,3.0,0.0,0.4254130128814309,1.0,71.0,1.0,0.2,740.0,-1.0
750.0,0.0,0.0,750.0,3.0,0.0,0.4250498139171277,2.0,35.5,1.0,0.8,750.0,-1.0
760.0,0.0,0.0,760.0,3.0,0.0,0.4291887294863781,2.0,35.5,1.0,0.8,760.0,-1.0
770.0,0.0,0.0,770.0,3.0,0.0,0.43180449799967846,2.0,35.5,1.0,0.8,770.0,-1.0
780.0,0.0,0.0,780.0,3.0,0.0,0.4331952228841393,2.0,35.5,1.0,0.8,780.0,-1.0
790.0,0.0,0.0,790.0,3.0,0.0,0.43548096702455114,2.0,35.5,1.0,0.8,790.0,-1.0
800.0,0.0,0.0,800.0,3.0,0.0,0.43674424424959857,2.0,35.5,1.0,0.8,800.0,-1.0
810.0,0.0,0.0,810.0,4.0,0.0,0.43790324312287915,2.0,61.0,2.0,0.8,810.0,-1.0
820.0,0.0,0.0,820.0,4.0,0.0,0.4388006824716612,2.0,61.0,2.0,0.8,820.0,-1.0
830.0,0.0,0.0,830.0,4.0,0.0,0.4395186170339507,2.0,61.0,2.0,0.8,830.0,-1.0
840.0,0.0,0.0,840.0,5.0,0.0,0.43986446425329845,2.0,61.0,2.0,0.8,840.0,-1.0
850.0,0.0,0.0,850.0,5.0,0.0,0.4401644327660738,2.0,61.0,2.0,0.8,850.0,-1.0
860.0,0.0,0.0,860.0,5.0,0.0,0.44040578618756293,2.0,61.0,2.0,0.8,860.0,-1.0
870.0,0.0,0.0,870.0,5.0,0.0,0.43978522105636514,2.0,61.0,2.0,0.8,870.0,-1.0
880.0,0.0,0.0,880.0,5.0,0.0,0.43892106643028156,2.0,61.0,2.0,0.8,880.0,-1.0
890.0,0.0,0.0,890.0,5.0,0.0,0.43994905693872005,2.0,61.0,2.0,0.8,890.0,-1.0
900.0,0.0,0.0,900.0,5.0,0.0,0.43937564924879197,2.0,61.0,2.0,0.8,900.0,-1.0
910.0,0.0,0.0,910.0,5.0,0.0,0.43832987620052927,2.0,61.0,2.0,0.8,910.0,-1.0
920.0,0.0,0.0,920.0,5.0,0.0,0.43791681105557967,2.0,61.0,2.0,0.8,920.0,-1.0
930.0,0.0,0.0,930.0,5.0,0.0,0.43821568083945556,2.0,61.0,2.0,0.8,930.0,-1.0
940.0,0.0,0.0,940.0,5.0,0.0,0.4374022492968993,2.0,61.0,2.0,0.8,940.0,-1.0
950.0,0.0,0.0,950.0,5.0,0.0,0.43732165975876985,2.0,61.0,2.0,0.8,950.0,-1.0
960.0,0.0,0.0,960.0,5.0,0.0,0.43685732449896836,2.0,61.0,2.0,0.8,960.0,-1.0
970.0,0.0,0.0,970.0,5.0,0.0,0.4363665749422225,2.0,61.0,2.0,0.8,970.0,-1.0
980.0,0.0,0.0,980.0,5.0,0.0,0.4358539720597774,2.0,61.0,2.0,0.8,980.0,-1.0
990.0,0.0,0.0,990.0,5.0,0.0,0.4361228061081696,2.0,61.0,2.0,0.8,990.0,-1.0
1000.0,0.0,0.0,1000.0,5.0,0.0,0.43601482237512135,2.0,61.0,2.0,0.2,1000.0,-1.0
