learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
10.0,0.0,0.0,10.0,0.0,0.0,0.35023809523809524,0.0,?,0.0,0.2,10.0,-1.0
20.0,0.015625,-4.042198674546348E-15,20.0,0.0,0.0,0.36686401296501914,0.0,?,0.0,0.2,20.0,-1.0
30.0,0.015625,-4.042198674546348E-15,30.0,0.0,0.0,0.3384182193783604,0.0,?,0.0,0.2,30.0,-1.0
40.0,0.015625,-4.042198674546348E-15,40.0,0.0,0.0,0.3166946626627273,0.0,?,0.0,0.2,40.0,-1.0
50.0,0.015625,-4.042198674546348E-15,50.0,0.0,0.0,0.3004113742785485,0.0,?,0.0,0.2,50.0,-1.0
60.0,0.015625,-4.042198674546348E-15,60.0,0.0,0.0,0.28764293472266916,0.0,?,0.0,0.2,60.0,-1.0
70.0,0.015625,-4.042198674546348E-15,70.0,0.0,0.0,0.27834152825043257,0.0,?,0.0,0.2,70.0,-1.0
80.0,0.015625,-4.042198674546348E-15,80.0,0.0,0.0,0.2973011608064458,0.0,?,0.0,0.2,80.0,-1.0
90.0,0.015625,-4.042198674546348E-15,90.0,0.0,0.0,0.29109773395993316,0.0,?,0.0,0.2,90.0,-1.0
100.0,0.015625,-4.042198674546348E-15,100.0,0.0,0.0,0.2922446248692944,0.0,?,0.0,0.2,100.0,-1.0
110.0,0.015625,-4.042198674546348E-15,110.0,0.0,0.0,0.2804771582059824,0.0,?,0.0,0.2,110.0,-1.0
120.0,0.015625,-4.042198674546348E-15,120.0,0.0,0.0,0.28144815849054705,0.0,?,0.0,0.2,120.0,-1.0
130.0,0.015625,-4.042198674546348E-15,130.0,0.0,0.0,0.2877136797813626,0.0,?,0.0,0.2,130.0,-1.0
140.0,0.015625,-4.042198674546348E-15,140.0,0.0,0.0,0.2838034671206422,0.0,?,0.0,0.2,140.0,-1.0
150.0,0.015625,-4.042198674546348E-15,150.0,0.0,0.0,0.3026232487935108,0.0,?,0.0,0.2,150.0,-1.0
160.0,0.015625,-4.042198674546348E-15,160.0,0.0,0.0,0.3037292512558205,0.0,?,0.0,0.2,160.0,-1.0
170.0,0.015625,-4.042198674546348E-15,170.0,0.0,0.0,0.30468191420820034,0.0,?,0.0,0.2,170.0,-1.0
180.0,0.015625,-4.042198674546348E-15,180.0,0.0,0.0,0.30875470832401297,0.0,?,0.0,0.2,180.0,-1.0
190.0,0.015625,-4.042198674546348E-15,190.0,0.0,0.0,0.3126406598630115,0.0,?,0.0,0.2,190.0,-1.0
200.0,0.015625,-4.042198674546348E-15,200.0,0.0,0.0,0.3101072037803641,0.0,?,0.0,0.2,200.0,-1.0
